Transaction Date,Post Date,Description,Category,Type,Amount,Memo
08/04/2025,08/04/2025,AMAZON MKTPL*GT1PP7PU3,Shopping,Sale,-16.91,
08/01/2025,08/03/2025,SALT LAKE TENNIS,Health & Wellness,Sale,-144.18,
08/01/2025,08/03/2025,MAVERIK CNTRY STRE 323,Gas,Sale,-38.89,
07/31/2025,08/01/2025,AMAZON MKTPL*ZA0M34203,Shopping,Sale,-5.29,
07/31/2025,08/01/2025,Amazon.com*S78TH2ZP3,Shopping,Sale,-1.63,
07/31/2025,08/01/2025,Amazon.com*LQ09Q02Q3,Shopping,Sale,-17.30,
07/31/2025,08/01/2025,HARMONS - ST PARK #7 (FA,Groceries,Sale,-6.44,
07/31/2025,08/01/2025,AMAZON MKTPL*RC0X45RL3,Shopping,Sale,-9.75,
07/31/2025,08/01/2025,AMAZON MKTPL*H69XD2HM3,Shopping,Sale,-55.57,
07/30/2025,07/31/2025,CHEWY.COM,Shopping,Sale,-53.08,
07/29/2025,07/30/2025,ENTERPRISE RENT-A-CAR,Travel,Sale,-784.34,
07/29/2025,07/30/2025,GULF OIL 92038875,Gas,Sale,-35.72,
07/28/2025,07/29/2025,KAI SUSHI BAR &amp; GRILL,Food & Drink,Sale,-121.00,
07/26/2025,07/28/2025,CITY LINE DINER,Food & Drink,Sale,-82.00,
07/24/2025,07/27/2025,SHAKE SHACK CONC A SLC,Food & Drink,Sale,-36.97,
07/25/2025,07/27/2025,DIPPIN DONUTS,Food & Drink,Sale,-21.80,
07/26/2025,07/27/2025,BLACK &amp; BLUE STEAK AND CR,Food & Drink,Sale,-236.00,
07/24/2025,07/27/2025,DELTA AIRLINES ONBOARD SA,Groceries,Sale,-10.00,
07/24/2025,07/25/2025,DUNKIN #342231 Q35,Food & Drink,Sale,-5.13,
07/24/2025,07/25/2025,MCDONALD'S F25937,Food & Drink,Sale,-31.94,
07/23/2025,07/24/2025,VIVINT INC/US,Professional Services,Sale,-47.14,
07/22/2025,07/24/2025,MASSAGE ENVY - 0440 - RET,Health & Wellness,Sale,-85.00,
07/23/2025,07/24/2025,SP TRYFUM.COM,Shopping,Sale,-28.52,
07/22/2025,07/23/2025,HARMONS - ST PARK #7 (FA,Groceries,Sale,-3.22,
07/22/2025,07/23/2025,AMAZON MKTPL*G07WB4SA3,Shopping,Sale,-10.29,
07/22/2025,07/23/2025,TST* DE LOS MUERTOS - MEX,Food & Drink,Sale,-65.89,
07/22/2025,07/23/2025,AMAZON MKTPL*YH2NX0BM3,Shopping,Sale,-65.37,
07/21/2025,07/22/2025,AMAZON MKTPL*5H4UU06C3,Shopping,Sale,-101.00,
07/20/2025,07/21/2025,Amazon.com*NX87B1P61,Shopping,Sale,-18.42,
07/19/2025,07/20/2025,Amazon.com*LP7N71UU3,Shopping,Sale,-65.88,
07/15/2025,07/17/2025,AMAZON MKTPL*EX0IO4G63,Shopping,Sale,-17.45,
07/16/2025,07/17/2025,HARMONS - ST PARK #7 (FA,Groceries,Sale,-2.30,
07/15/2025,07/16/2025,MAVERIK CNTRY STRE 323,Gas,Sale,-42.67,
07/15/2025,07/16/2025,HARMONS - ST PARK #7 (FA,Groceries,Sale,-6.44,
07/15/2025,07/16/2025,CONGREGATION KOL AMI,Gifts & Donations,Sale,-263.49,
07/15/2025,07/16/2025,AMAZON MKTPL*NR1XG0VV1,Shopping,Sale,-11.97,
07/14/2025,07/15/2025,STARLINK INTERNET,Bills & Utilities,Sale,-29.28,
07/14/2025,07/15/2025,SQ *FUZZY NATES,Personal,Sale,-72.00,
07/14/2025,07/15/2025,AMAZON MKTPL*NR6RF3EC1,Shopping,Sale,-40.20,
07/13/2025,07/14/2025,AMAZON MKTPL*NR2PH34C1,Shopping,Sale,-161.70,
07/13/2025,07/14/2025,AMAZON MKTPL*NR2XQ1GF0,Shopping,Sale,-299.84,
07/11/2025,07/13/2025,AMAZON MKTPL*NL8L92IJ0,Shopping,Sale,-97.55,
07/12/2025,07/13/2025,AMAZON MKTPL*NL23G1UC1,Shopping,Sale,-11.18,
07/12/2025,07/13/2025,AMAZON MKTPL*NL4V46U41,Shopping,Sale,-34.12,
07/12/2025,07/13/2025,AMAZON MKTPL*NR81S2LZ0,Shopping,Sale,-432.72,
07/12/2025,07/13/2025,AMAZON MKTPL*NR9A19L00,Shopping,Sale,-43.37,
07/11/2025,07/13/2025,Amazon.com*NL8222KI1,Shopping,Sale,-44.68,
07/11/2025,07/11/2025,ROVER.COM* PET SVCS.,Personal,Sale,-34.00,
07/08/2025,07/10/2025,AUTOZONE #3762,Automotive,Sale,-86.74,
07/10/2025,07/10/2025,STARLINK INTERNET,Bills & Utilities,Sale,-324.27,
07/09/2025,07/10/2025,HARMONS - ST PARK #7 (FA,Groceries,Sale,-6.44,
07/08/2025,07/09/2025,BLOSSOMUP.CO#5FRDF61R,Education,Sale,-29.95,
07/07/2025,07/08/2025,CHEVRON 0383625,Gas,Sale,-40.10,
07/07/2025,07/08/2025,CITY MARKET #0210 FUEL  Q,Gas,Sale,-49.99,
07/07/2025,07/08/2025,DEWEYS RESTAURANT AND,Food & Drink,Sale,-41.00,
07/06/2025,07/07/2025,AMAZON PRIME*NL87Z3GH2,Bills & Utilities,Sale,-150.75,
07/06/2025,07/07/2025,THE WHISTLE STOP STATION,Gas,Sale,-13.83,
07/04/2025,07/06/2025,FSP*ORVIS HOT SPRINGS,Entertainment,Sale,-56.00,
07/04/2025,07/06/2025,PHILLIPS 66 - TIMBER R,Gas,Sale,-39.12,
07/05/2025,07/06/2025,SALT LAKE TENNIS,Health & Wellness,Sale,-440.00,
07/04/2025,07/04/2025,AUTOMATIC PAYMENT - THANK,,Payment,2370.38,
07/02/2025,07/04/2025,SP SNAKE RIVER SEED,Home,Return,7.67,
07/03/2025,07/04/2025,MAVERIK #710,Gas,Sale,-2.53,
07/02/2025,07/04/2025,DEL TACO #272,Food & Drink,Sale,-24.96,
07/02/2025,07/04/2025,7-ELEVEN 12916,Gas,Sale,-7.40,
07/02/2025,07/04/2025,7-ELEVEN 12916,Gas,Sale,-3.70,
07/02/2025,07/04/2025,GATEWAY SINCLAIR,Gas,Sale,-13.65,
07/03/2025,07/04/2025,MAVERIK #500,Gas,Sale,-43.59,
07/03/2025,07/04/2025,MAVERIK #500,Gas,Sale,-3.49,
07/02/2025,07/03/2025,MAVERIK #361,Gas,Sale,-21.81,
07/02/2025,07/03/2025,JUDAICAWEBSTORE.COM,Shopping,Return,29.05,
07/02/2025,07/03/2025,TST* VESSEL KITCHEN - FAR,Food & Drink,Sale,-20.00,
07/01/2025,07/02/2025,SALT LAKE TENNIS,Health & Wellness,Sale,-144.18,
07/01/2025,07/02/2025,AMAZON MKTPL*N35441FA1,Shopping,Sale,-18.39,
07/01/2025,07/02/2025,AMAZON MKTPL*N397M46L2,Shopping,Sale,-7.57,
06/28/2025,07/01/2025,SLEEPYPOD,Shopping,Sale,-120.84,
06/30/2025,07/01/2025,AMAZON MKTPL*NQ9DL37W0,Shopping,Sale,-15.13,
06/29/2025,06/30/2025,AMAZON MKTPL*N37VZ6JB2,Shopping,Sale,-69.47,
06/29/2025,06/30/2025,AMAZON MKTPL*NQ4CY92M1,Shopping,Sale,-6.37,
06/30/2025,06/30/2025,SP SNAKE RIVER SEED,Home,Sale,-64.47,
06/29/2025,06/30/2025,ERACTOLL 572531696,Travel,Sale,-2.05,
06/28/2025,06/29/2025,AMAZON MKTPL*NQ98I1XI0,Shopping,Sale,-85.20,
06/26/2025,06/27/2025,MAVERIK CNTRY STRE 323,Gas,Sale,-37.95,
06/26/2025,06/27/2025,SPORTSMANS FULFILLMENT,Shopping,Sale,-98.92,
06/26/2025,06/27/2025,HARMONS - ST PARK #7 (FA,Groceries,Sale,-3.22,
06/25/2025,06/26/2025,THE ATTORNEYS FOR FREEDOM,Professional Services,Sale,-407.00,
06/24/2025,06/25/2025,ERACTOLL 572531696,Travel,Sale,-24.25,
06/24/2025,06/25/2025,HARMONS - ST PARK #7 (FA,Groceries,Sale,-3.75,
06/22/2025,06/25/2025,CBI OFFROAD,Automotive,Sale,-23.82,
06/23/2025,06/24/2025,VIVINT INC/US,Professional Services,Sale,-47.14,
06/22/2025,06/24/2025,MASSAGE ENVY - 0440 - RET,Health & Wellness,Sale,-85.00,
06/23/2025,06/24/2025,Amazon.com*NO9ZF36T0,Shopping,Sale,-15.47,
06/23/2025,06/24/2025,ROVER.COM* PET SVCS.,Personal,Sale,-188.70,
06/23/2025,06/24/2025,AMAZON MKTPL*NO25R2S51,Shopping,Sale,-16.85,
06/20/2025,06/22/2025,AMAZON MKTPL*NO4OV1TB1,Shopping,Sale,-57.36,
06/19/2025,06/22/2025,JERSEY MIKES 42009,Food & Drink,Sale,-15.06,
06/20/2025,06/22/2025,SQ *BULLFROG SPAS,Shopping,Sale,-2495.72,
06/18/2025,06/20/2025,JERSEY MIKES 42009,Food & Drink,Sale,-15.06,
06/19/2025,06/20/2025,AMAZON MKTPL*NA7TX0WI0,Shopping,Sale,-92.95,
06/19/2025,06/20/2025,Amazon.com*NO5CT0LG1,Shopping,Sale,-20.92,
06/19/2025,06/20/2025,AMAZON MKTPL*NA11O3YF0,Shopping,Sale,-55.57,
06/19/2025,06/20/2025,AMAZON MKTPL*NA5L71YH0,Shopping,Sale,-58.44,
06/19/2025,06/20/2025,AMAZON MKTPL*NA2JT5W60,Shopping,Sale,-13.63,
06/18/2025,06/19/2025,HARMONS - STATION PARK,Gas,Sale,-31.49,
06/17/2025,06/19/2025,DELTA AIR LINES ONBOARD S,Groceries,Sale,-28.00,
06/17/2025,06/19/2025,DEL TACO #272,Food & Drink,Sale,-19.97,
06/18/2025,06/19/2025,AMAZON MKTPL*NO8DR5VY2,Shopping,Sale,-43.29,
06/17/2025,06/18/2025,ABC*PLANET FITNESS S SAL,Health & Wellness,Sale,-24.77,
06/17/2025,06/18/2025,AMAZON MKTPL*NA4492D01,Shopping,Sale,-9.73,
06/17/2025,06/18/2025,ENTERPRISE RENT-A-CAR,Travel,Sale,-803.72,
06/15/2025,06/16/2025,CONGREGATION KOL AMI,Gifts & Donations,Sale,-251.88,
06/10/2025,06/12/2025,DELTA AIR LINES ONBOARD S,Groceries,Sale,-14.00,
06/10/2025,06/12/2025,SHAKE SHACK CONC A SLC,Food & Drink,Sale,-21.18,
06/10/2025,06/11/2025,HELP.BLOSSOMUP.CO,Education,Sale,-29.95,
06/08/2025,06/09/2025,CHEVRON 0201423,Gas,Sale,-14.81,
06/05/2025,06/06/2025,SALT LAKE TENNIS,Health & Wellness,Sale,-440.00,
06/04/2025,06/06/2025,DEL TACO #272,Food & Drink,Sale,-18.22,
06/04/2025,06/06/2025,JERSEY MIKES 42009,Food & Drink,Sale,-15.06,
06/04/2025,06/05/2025,HARMONS - STATION PARK,Gas,Sale,-57.96,
06/04/2025,06/04/2025,AUTOMATIC PAYMENT - THANK,,Payment,2891.18,
06/03/2025,06/04/2025,HELP.BLOSSOMUP.CO,Education,Sale,-1.95,
06/01/2025,06/02/2025,SALT LAKE TENNIS,Health & Wellness,Sale,-144.18,
05/29/2025,06/01/2025,JERSEY MIKES 42009,Food & Drink,Sale,-15.06,
05/30/2025,06/01/2025,Amazon.com*NN2NJ7QD0,Shopping,Sale,-15.07,
05/29/2025,05/30/2025,AMAZON MKTPL*NN4BF08W1,Shopping,Sale,-47.31,
05/29/2025,05/30/2025,Amazon.com*NN8500H01,Shopping,Sale,-15.13,
05/29/2025,05/30/2025,AMAZON MKTPL*NN82J5PW0,Shopping,Sale,-92.95,
05/27/2025,05/29/2025,JERSEY MIKES 42009,Food & Drink,Sale,-15.06,
05/29/2025,05/29/2025,SP TIRE-RITE,Shopping,Sale,-56.51,
05/26/2025,05/27/2025,Amazon.com*NN9C59FV1,Shopping,Sale,-17.51,
05/26/2025,05/27/2025,AMAZON MKTPL*NN9DH7KK2,Shopping,Sale,-52.57,
05/26/2025,05/27/2025,AMAZON MKTPL*NN0FM5FN1,Shopping,Sale,-40.81,
05/26/2025,05/27/2025,AMAZON MKTPL*NN7L70KM2,Shopping,Sale,-16.48,
05/26/2025,05/27/2025,AMAZON MKTPL*NN2D92K62,Shopping,Sale,-18.85,
05/22/2025,05/25/2025,JERSEY MIKES 42009,Food & Drink,Sale,-15.06,
05/24/2025,05/25/2025,AMAZON MKTPL*NZ6SL36G1,Shopping,Sale,-25.88,
05/23/2025,05/25/2025,VIVINT INC/US,Professional Services,Sale,-47.14,
05/22/2025,05/25/2025,MASSAGE ENVY - 0440 - RET,Health & Wellness,Sale,-80.00,
05/22/2025,05/23/2025,SP TRYFUM.COM,Shopping,Sale,-39.14,
05/20/2025,05/21/2025,HARMONS - ST PARK #7 (FA,Groceries,Sale,-6.18,
05/19/2025,05/21/2025,MAVERIK CNTRY STRE 323,Gas,Sale,-61.99,
05/19/2025,05/20/2025,LEGALZOOM* 888-3100151 RA,Professional Services,Sale,-399.00,
05/17/2025,05/19/2025,DEL TACO #272,Food & Drink,Sale,-24.77,
05/15/2025,05/18/2025,ZAO - FARMINGTON,Food & Drink,Sale,-15.00,
05/17/2025,05/18/2025,ABC*PLANET FITNESS S SAL,Health & Wellness,Sale,-24.77,
05/17/2025,05/18/2025,AMAZON MKTPL*NZ2S701I2,Shopping,Sale,-27.80,
05/15/2025,05/16/2025,CONGREGATION KOL AMI,Gifts & Donations,Sale,-249.30,
05/13/2025,05/14/2025,HARMONS - ST PARK #7 (FA,Groceries,Sale,-6.97,
05/13/2025,05/14/2025,AMAZON MKTPL*NI0415K20,Shopping,Sale,-16.09,
05/10/2025,05/11/2025,AMAZON MKTPL*NI4IX0J91,Shopping,Sale,-92.95,
05/10/2025,05/11/2025,AMAZON MKTPL*NI3W53ER0,Shopping,Sale,-32.48,
05/08/2025,05/09/2025,MAVERIK CNTRY STRE 323,Gas,Sale,-48.47,
05/07/2025,05/09/2025,ZAO - FARMINGTON,Food & Drink,Sale,-16.00,
05/08/2025,05/09/2025,HARMONS - ST PARK #7 (FA,Groceries,Sale,-9.39,
05/09/2025,05/09/2025,MYBOOSTER* OLD STURBRI,Personal,Sale,-80.50,
05/07/2025,05/08/2025,IFA SALT LAKE CITY,Food & Drink,Sale,-7.54,
05/06/2025,05/07/2025,AMAZON MKTPL*NB73X5B31,Shopping,Sale,-9.81,
05/04/2025,05/07/2025,INTERMOUNTAIN FARMERS ASS,Food & Drink,Sale,-358.16,
05/06/2025,05/07/2025,AMAZON MKTPL*NI41W88J2,Shopping,Sale,-37.34,
05/06/2025,05/07/2025,HARMONS - ST PARK #7 (FA,Groceries,Sale,-7.20,
05/06/2025,05/07/2025,AMAZON MKTPL*NB0PZ8DJ0,Shopping,Sale,-47.62,
05/05/2025,05/06/2025,SALT LAKE TENNIS,Health & Wellness,Sale,-440.00,
05/04/2025,05/05/2025,CONGREGATION KOL AMI,Gifts & Donations,Sale,-93.46,
05/04/2025,05/04/2025,AUTOMATIC PAYMENT - THANK,,Payment,2958.28,
05/01/2025,05/04/2025,ZAO - FARMINGTON,Food & Drink,Sale,-15.00,
05/02/2025,05/04/2025,AMAZON MKTPL*NB56L0CS1,Shopping,Sale,-30.87,
05/02/2025,05/04/2025,AMAZON MKTPL*NB1UB5CG1,Shopping,Sale,-86.59,
05/01/2025,05/02/2025,SALT LAKE TENNIS,Health & Wellness,Sale,-144.18,
04/29/2025,04/30/2025,Amazon.com*1C1JC2AH3,Shopping,Sale,-63.69,
04/29/2025,04/30/2025,MAVERIK CNTRY STRE 323,Gas,Sale,-62.86,
04/29/2025,04/30/2025,HARMONS - ST PARK #7 (FA,Groceries,Sale,-6.17,
04/27/2025,04/27/2025,AMAZON MKTPL*R30AA2FO3,Shopping,Sale,-51.02,
04/27/2025,04/27/2025,AMAZON MKTPL*SM0U73OT3,Shopping,Sale,-52.57,
04/27/2025,04/27/2025,Amazon.com*979TR0PS3,Shopping,Sale,-30.48,
04/26/2025,04/27/2025,HARMONS - BRICKYARD #21,Groceries,Sale,-12.83,
04/27/2025,04/27/2025,Amazon.com*NB9AF6LC2,Shopping,Sale,-17.51,
04/27/2025,04/27/2025,AMAZON MKTPL*PT7D61363,Shopping,Sale,-14.07,
04/27/2025,04/27/2025,AMAZON MKTPL*FL7PH47X3,Shopping,Sale,-6.08,
04/27/2025,04/27/2025,AMAZON MKTPL*QB31P0NP3,Shopping,Sale,-16.48,
04/25/2025,04/25/2025,AMAZON MKTPL*LX0WY3YL3,Shopping,Sale,-12.95,
04/23/2025,04/25/2025,ZAO - FARMINGTON,Food & Drink,Sale,-15.00,
04/22/2025,04/24/2025,MASSAGE ENVY - 0440 - RET,Health & Wellness,Sale,-80.00,
04/23/2025,04/24/2025,VIVINT INC/US,Professional Services,Sale,-48.11,
04/22/2025,04/23/2025,HARMONS - ST PARK #7 (FA,Groceries,Sale,-5.14,
04/21/2025,04/22/2025,YOFAH RELIGIOUS ARTICLES,Shopping,Sale,-13.72,
04/20/2025,04/21/2025,MAVERIK CNTRY STRE 323,Gas,Sale,-9.73,
04/20/2025,04/21/2025,SP TRYFUM.COM,Shopping,Sale,-128.49,
04/20/2025,04/21/2025,MAVERIK CNTRY STRE 323,Gas,Sale,-33.84,
04/19/2025,04/21/2025,DEL TACO #272,Food & Drink,Sale,-25.53,
04/20/2025,04/21/2025,AMAZON MKTPL*0V38Y2DJ3,Shopping,Sale,-92.95,
04/19/2025,04/21/2025,JUDAICAWEBSTORE.COM,Shopping,Sale,-269.95,
04/18/2025,04/20/2025,AMAZON MKTPL*3M3402UW3,Shopping,Sale,-35.71,
04/17/2025,04/18/2025,HARMONS AT STATION,Groceries,Sale,-9.92,
04/17/2025,04/18/2025,ABC*487-PLANET FITNESS,Health & Wellness,Sale,-24.63,
04/16/2025,04/17/2025,Prime Video *O017B8RP3,Shopping,Sale,-4.32,
04/16/2025,04/17/2025,MAVERIK CNTRY STRE 323,Gas,Sale,-42.05,
04/16/2025,04/17/2025,HARMONS AT STATION,Groceries,Sale,-7.20,
04/15/2025,04/16/2025,HARMONS AT STATION,Groceries,Sale,-7.20,
04/15/2025,04/16/2025,CONGREGATION KOL AMI,Gifts & Donations,Sale,-248.31,
04/14/2025,04/15/2025,AMAZON MKTPL*4V2IA40P3,Shopping,Sale,-22.22,
04/14/2025,04/15/2025,Prime Video *VP4EW9W33,Shopping,Sale,-4.32,
04/13/2025,04/14/2025,FIVE GUYS 1204 QSR,Food & Drink,Sale,-32.00,
04/10/2025,04/13/2025,ZAO - FARMINGTON,Food & Drink,Sale,-19.00,
04/10/2025,04/11/2025,MAVERIK CNTRY STRE 323,Gas,Sale,-57.20,
04/09/2025,04/10/2025,HARMONS AT STATION,Groceries,Sale,-10.95,
04/08/2025,04/09/2025,HARMONS AT STATION,Groceries,Sale,-6.17,
04/08/2025,04/08/2025,AMAZON MKTPL*7M9QT0B23,Shopping,Sale,-20.58,
04/06/2025,04/07/2025,AMAZON MKTPL*398ZO5GJ3,Shopping,Sale,-5.50,
04/05/2025,04/06/2025,SALT LAKE TENNIS,Health & Wellness,Sale,-440.00,
04/04/2025,04/04/2025,AUTOMATIC PAYMENT - THANK,,Payment,3998.44,
04/03/2025,04/04/2025,HARMONS AT STATION,Groceries,Sale,-9.11,
04/02/2025,04/03/2025,MAVERIK CNTRY STRE 323,Gas,Sale,-39.39,
04/02/2025,04/03/2025,Amazon.com*MY7880LJ3,Shopping,Sale,-17.31,
04/01/2025,04/02/2025,MAVERIK #637,Gas,Sale,-42.41,
04/01/2025,04/02/2025,MAVERIK #637,Gas,Sale,-2.67,
04/01/2025,04/02/2025,SALT LAKE TENNIS,Health & Wellness,Sale,-144.18,
03/28/2025,03/30/2025,AMAZON MKTPL*JS7PB5WS3,Shopping,Sale,-92.95,
03/28/2025,03/30/2025,MAVERIK CNTRY STRE 323,Gas,Sale,-26.68,
03/28/2025,03/30/2025,AMAZON MKTPL*4Y88P8EC3,Shopping,Sale,-15.14,
03/28/2025,03/30/2025,DEL TACO #272,Food & Drink,Sale,-22.38,
03/27/2025,03/28/2025,HARMONS AT STATION,Groceries,Sale,-6.17,
03/25/2025,03/26/2025,Amazon.com*HX28241F3,Shopping,Sale,-16.21,
03/25/2025,03/26/2025,LS EXPEDITION SUPER S,Shopping,Sale,-880.73,
03/25/2025,03/25/2025,AMAZON MKTPL*257KV0XT3,Shopping,Sale,-14.32,
03/25/2025,03/25/2025,AMAZON MKTPL*X83AO4B43,Shopping,Sale,-52.57,
03/25/2025,03/25/2025,AMAZON MKTPL*206B814G3,Shopping,Sale,-6.46,
03/25/2025,03/25/2025,AMAZON MKTPL*229S77SN3,Shopping,Sale,-18.85,
03/25/2025,03/25/2025,AMAZON MKTPL*JR5979DB3,Shopping,Sale,-51.02,
03/24/2025,03/25/2025,VIVINT INC/US,Professional Services,Sale,-48.27,
03/25/2025,03/25/2025,Amazon.com*3W2ES1KO3,Shopping,Sale,-10.81,
03/25/2025,03/25/2025,Amazon.com*NA7HF92S3,Shopping,Sale,-13.80,
03/25/2025,03/25/2025,Amazon.com*ZC0KB1MK3,Shopping,Sale,-17.51,
03/22/2025,03/24/2025,MASSAGE ENVY - 0440 - RET,Health & Wellness,Sale,-80.00,
03/22/2025,03/23/2025,TST* DE LOS MUERTOS - MEX,Food & Drink,Sale,-43.00,
03/19/2025,03/21/2025,HOV2,Shopping,Sale,-67.67,
03/20/2025,03/21/2025,HARMONS AT STATION,Groceries,Sale,-5.15,
03/20/2025,03/21/2025,MAVERIK CNTRY STRE 323,Gas,Sale,-36.26,
03/17/2025,03/18/2025,ABC*487-PLANET FITNESS,Health & Wellness,Sale,-24.63,
03/15/2025,03/17/2025,BRIGHTON RESORT F &amp; B,Entertainment,Sale,-64.66,
03/15/2025,03/17/2025,CONGREGATION KOL AMI,Gifts & Donations,Sale,-247.31,
03/16/2025,03/17/2025,MAVERIK CNTRY STRE 323,Gas,Sale,-38.81,
03/13/2025,03/16/2025,ZAO - FARMINGTON,Food & Drink,Sale,-15.00,
03/13/2025,03/16/2025,HOV2,Shopping,Sale,-96.11,
03/12/2025,03/13/2025,HARMONS AT STATION,Groceries,Sale,-6.17,
03/11/2025,03/12/2025,MAVERIK CNTRY STRE 323,Gas,Sale,-29.95,
03/11/2025,03/12/2025,HARMONS AT STATION,Groceries,Sale,-6.17,
03/11/2025,03/11/2025,AMAZON MKTPL*BH1W90DE3,Shopping,Sale,-92.95,
03/09/2025,03/11/2025,A BAR NAME SUE - HIGHLAND,Food & Drink,Sale,-29.00,
03/07/2025,03/10/2025,URBAN LOUNGE,Food & Drink,Sale,-39.00,
03/07/2025,03/09/2025,SQ *JAMES LOOMIS,Education,Sale,-42.00,
03/06/2025,03/07/2025,HARMONS AT STATION,Groceries,Sale,-7.20,
03/05/2025,03/06/2025,HARMONS AT STATION,Groceries,Sale,-6.17,
03/05/2025,03/06/2025,SALT LAKE TENNIS,Health & Wellness,Sale,-440.00,
03/04/2025,03/05/2025,MAVERIK CNTRY STRE 323,Gas,Sale,-29.60,
03/04/2025,03/05/2025,HARMONS AT STATION,Groceries,Sale,-10.42,
03/04/2025,03/04/2025,AUTOMATIC PAYMENT - THANK,,Payment,525.91,
03/01/2025,03/02/2025,SALT LAKE TENNIS,Health & Wellness,Sale,-144.18,
02/25/2025,02/26/2025,HARMONS AT STATION,Groceries,Sale,-9.39,
02/25/2025,02/26/2025,MAVERIK CNTRY STRE 323,Gas,Sale,-34.89,
02/25/2025,02/26/2025,AMAZON MKTPL*LZ35C4FI3,Shopping,Sale,-12.00,
02/25/2025,02/26/2025,AMAZON MKTPL*8836B4R73,Shopping,Sale,-51.02,
02/25/2025,02/26/2025,HARMONS AT STATION,Groceries,Sale,-13.38,
02/25/2025,02/25/2025,AMAZON MKTPL*ZJ86310M1,Shopping,Sale,-17.06,
02/24/2025,02/25/2025,VIVINT INC/US,Professional Services,Sale,-48.27,
02/25/2025,02/25/2025,AMAZON MKTPL*898HL8EC3,Shopping,Sale,-34.15,
02/25/2025,02/25/2025,AMAZON MKTPL*FN4DC89R3,Shopping,Sale,-52.57,
02/23/2025,02/25/2025,Apex Ordnance,Shopping,Sale,-195.87,
02/25/2025,02/25/2025,Amazon.com*GK0R12YH3,Shopping,Sale,-17.51,
02/23/2025,02/24/2025,FIVE GUYS 1204 QSR,Food & Drink,Sale,-32.00,
02/23/2025,02/24/2025,Amazon.com*112S51NL3,Shopping,Sale,-63.69,
02/22/2025,02/24/2025,MASSAGE ENVY - 0440 - RET,Health & Wellness,Sale,-80.00,
02/21/2025,02/23/2025,GRANITE VETERINARY SPECIA,Personal,Sale,-268.06,
02/19/2025,02/20/2025,HARMONS AT STATION,Groceries,Sale,-10.29,
02/19/2025,02/20/2025,TST* COSTA VIDA 0097 - ST,Food & Drink,Sale,-13.00,
02/18/2025,02/19/2025,MAVERIK CNTRY STRE 323,Gas,Sale,-43.39,
02/18/2025,02/19/2025,AMAZON MKTPL*WP9J69BL3,Shopping,Sale,-46.88,
02/16/2025,02/18/2025,A BAR NAME SUE - HIGHLAND,Food & Drink,Sale,-18.00,
02/17/2025,02/18/2025,SAME DAY HEATING PLUMBI,Home,Sale,-1480.00,
02/17/2025,02/18/2025,ABC*487-PLANET FITNESS,Health & Wellness,Sale,-24.63,
02/16/2025,02/17/2025,AMAZON MKTPL*U47FB4LW3,Shopping,Sale,-7.43,
02/15/2025,02/17/2025,CONGREGATION KOL AMI,Gifts & Donations,Sale,-246.70,
02/16/2025,02/17/2025,AMAZON MKTPL*413U98AW3,Shopping,Sale,-22.22,
02/15/2025,02/16/2025,AMAZON MKTPL*S856S3KM3,Shopping,Sale,-92.95,
02/14/2025,02/16/2025,TST* COSTA VIDA 0097 - ST,Food & Drink,Sale,-14.00,
